name,isbn,image,category,author,price,format
This is Going to Hurt,9781510000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5098/9781509858637.jpg,Medical,Adam Kay,7.6,Paperback
"Thinking, Fast and Slow",9780140000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141033570.jpg,Medical,Daniel Kahneman,11.5,Paperback
When Breath Becomes Air,9781780000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7847/9781784701994.jpg,Medical,Paul Kalanithi,9.05,Paperback
The Happiness Trap,9781850000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8452/9781845298258.jpg,Medical,Russ Harris,8.34,Paperback
The Man Who Mistook His Wife for a Hat,9780330000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3305/9780330523622.jpg,Medical,Oliver Sacks,5.92,Paperback
12 Rules for Life,9780240000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2413/9780241351642.jpg,Medical,Jordan B. Peterson,18.31,Paperback
Gut,9781930000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9252/9781925228601.jpg,Medical,Giulia Enders,10.49,Paperback
Medical Medium Liver Rescue,9781400000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4019/9781401954406.jpg,Medical,Anthony William,23.76,Hardback
Gut and Psychology Syndrome,9780950000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/9548/9780954852023.jpg,Medical,Dr Natasha Campbell-McBride,19.48,Paperback
Steal Like an Artist,9780760000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7611/9780761169253.jpg,Medical,Austin Kleon,8.81,Paperback
Sitting Still Like A Frog,9781610000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6118/9781611800586.jpg,Medical,Eline Snel,10.4,Paperback
Birth Skills,9780090000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0919/9780091922146.jpg,Medical,Juju Sundin,17.03,Paperback
Diagnostic and Statistical Manual of Mental Disorders (DSM-5),9780890000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8904/9780890425558.jpg,Medical,American Psychiatric Association,95.94,Paperback
Publication Manual of the American Psychological Association,9781430000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4338/9781433805615.jpg,Medical,American Psychological Association,30.49,Paperback
Proof of Heaven,9781450000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4516/9781451695199.jpg,Medical,Dr. Eben Alexander,13.01,Paperback
The Complete Guide to Asperger's Syndrome,9781840000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8431/9781843106692.jpg,Medical,Tony Attwood,20.08,Paperback
The Anatomy Coloring Book,9780320000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3218/9780321832016.jpg,Medical,Wynn Kapit,24.25,Paperback
The Plant Paradox,9780060000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0624/9780062427137.jpg,Medical,Steven R. Gundry,16.53,Hardback
Raising an Emotionally Intelligent Child,9780680000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/6848/9780684838656.jpg,Medical,John Gottman,11.21,Paperback
